"","target_end_date","abbreviation","cases","location","state_name"
"327",2023-06-24,"AZ",48,2,"Arizona"
"328",2023-07-01,"AZ",29,2,"Arizona"
"329",2023-07-08,"AZ",34,2,"Arizona"
"330",2023-07-15,"AZ",28,2,"Arizona"
"331",2023-07-22,"AZ",12,2,"Arizona"
"332",2023-07-29,"AZ",17,2,"Arizona"
"333",2023-08-05,"AZ",11,2,"Arizona"
"334",2023-08-12,"AZ",9,2,"Arizona"
"335",2023-08-19,"AZ",6,2,"Arizona"
"336",2023-08-26,"AZ",17,2,"Arizona"
"337",2023-09-02,"AZ",13,2,"Arizona"
"338",2023-09-09,"AZ",8,2,"Arizona"
"339",2023-09-16,"AZ",10,2,"Arizona"
"340",2023-09-23,"AZ",9,2,"Arizona"
"341",2023-09-30,"AZ",21,2,"Arizona"
"342",2023-10-07,"AZ",16,2,"Arizona"
"343",2023-10-14,"AZ",21,2,"Arizona"
"344",2023-10-21,"AZ",52,2,"Arizona"
"345",2023-10-28,"AZ",49,2,"Arizona"
"346",2023-11-04,"AZ",50,2,"Arizona"
"347",2023-11-11,"AZ",131,2,"Arizona"
"348",2023-11-18,"AZ",186,2,"Arizona"
"349",2023-11-25,"AZ",209,2,"Arizona"
"350",2023-12-02,"AZ",269,2,"Arizona"
"351",2023-12-09,"AZ",378,2,"Arizona"
"352",2023-12-16,"AZ",583,2,"Arizona"
"353",2023-12-23,"AZ",927,2,"Arizona"
"354",2023-12-30,"AZ",1074,2,"Arizona"
"355",2024-01-06,"AZ",870,2,"Arizona"
"356",2024-01-13,"AZ",696,2,"Arizona"
"357",2024-01-20,"AZ",664,2,"Arizona"
"358",2024-01-27,"AZ",612,2,"Arizona"
"359",2024-02-03,"AZ",335,2,"Arizona"
"360",2024-02-10,"AZ",175,2,"Arizona"
"361",2024-02-17,"AZ",185,2,"Arizona"
"362",2024-02-24,"AZ",192,2,"Arizona"
"363",2024-03-02,"AZ",175,2,"Arizona"
"364",2024-03-09,"AZ",120,2,"Arizona"
"365",2024-03-16,"AZ",128,2,"Arizona"
"366",2024-03-23,"AZ",101,2,"Arizona"
"367",2024-03-30,"AZ",94,2,"Arizona"
"368",2024-04-06,"AZ",83,2,"Arizona"
"369",2024-04-13,"AZ",84,2,"Arizona"
"370",2024-04-20,"AZ",79,2,"Arizona"
"371",2024-04-27,"AZ",105,2,"Arizona"
"372",2024-05-04,"AZ",73,2,"Arizona"
"373",2024-05-11,"AZ",68,2,"Arizona"
"374",2024-05-18,"AZ",63,2,"Arizona"
"375",2020-10-24,"AR",4,3,"Arkansas"
"376",2020-10-31,"AR",8,3,"Arkansas"
"377",2020-11-07,"AR",14,3,"Arkansas"
"378",2020-11-14,"AR",10,3,"Arkansas"
"379",2020-11-21,"AR",4,3,"Arkansas"
"380",2020-11-28,"AR",9,3,"Arkansas"
"381",2020-12-05,"AR",7,3,"Arkansas"
"382",2020-12-12,"AR",12,3,"Arkansas"
"383",2020-12-19,"AR",12,3,"Arkansas"
"384",2020-12-26,"AR",9,3,"Arkansas"
"385",2021-01-02,"AR",20,3,"Arkansas"
"386",2021-01-09,"AR",20,3,"Arkansas"
"387",2021-01-16,"AR",17,3,"Arkansas"
"388",2021-01-23,"AR",13,3,"Arkansas"
"389",2021-01-30,"AR",16,3,"Arkansas"
"390",2021-02-06,"AR",9,3,"Arkansas"
"391",2021-02-13,"AR",19,3,"Arkansas"
"392",2021-02-20,"AR",16,3,"Arkansas"
"393",2021-02-27,"AR",10,3,"Arkansas"
"394",2021-03-06,"AR",10,3,"Arkansas"
"395",2021-03-13,"AR",21,3,"Arkansas"
"396",2021-03-20,"AR",13,3,"Arkansas"
"397",2021-03-27,"AR",14,3,"Arkansas"
"398",2021-04-03,"AR",11,3,"Arkansas"
"399",2021-04-10,"AR",14,3,"Arkansas"
"400",2021-04-17,"AR",16,3,"Arkansas"
"401",2021-04-24,"AR",18,3,"Arkansas"
"402",2021-05-01,"AR",15,3,"Arkansas"
"403",2021-05-08,"AR",6,3,"Arkansas"
"404",2021-05-15,"AR",6,3,"Arkansas"
"405",2021-05-22,"AR",3,3,"Arkansas"
"406",2021-05-29,"AR",1,3,"Arkansas"
"407",2021-06-05,"AR",7,3,"Arkansas"
"408",2021-06-12,"AR",1,3,"Arkansas"
"409",2021-06-19,"AR",4,3,"Arkansas"
"410",2021-06-26,"AR",4,3,"Arkansas"
"411",2021-07-03,"AR",2,3,"Arkansas"
"412",2021-07-10,"AR",1,3,"Arkansas"
"413",2021-07-17,"AR",1,3,"Arkansas"
"414",2021-07-24,"AR",1,3,"Arkansas"
"415",2021-07-31,"AR",0,3,"Arkansas"
"416",2021-08-07,"AR",3,3,"Arkansas"
"417",2021-08-14,"AR",2,3,"Arkansas"
"418",2021-08-21,"AR",3,3,"Arkansas"
"419",2021-08-28,"AR",5,3,"Arkansas"
"420",2021-09-04,"AR",2,3,"Arkansas"
"421",2021-09-11,"AR",0,3,"Arkansas"
"422",2021-09-18,"AR",2,3,"Arkansas"
"423",2021-09-25,"AR",3,3,"Arkansas"
"424",2021-10-02,"AR",0,3,"Arkansas"
"425",2021-10-09,"AR",3,3,"Arkansas"
"426",2021-10-16,"AR",4,3,"Arkansas"
"427",2021-10-23,"AR",3,3,"Arkansas"
"428",2021-10-30,"AR",3,3,"Arkansas"
"429",2021-11-06,"AR",3,3,"Arkansas"
"430",2021-11-13,"AR",5,3,"Arkansas"
"431",2021-11-20,"AR",6,3,"Arkansas"
"432",2021-11-27,"AR",2,3,"Arkansas"
"433",2021-12-04,"AR",12,3,"Arkansas"
"434",2021-12-11,"AR",11,3,"Arkansas"
"435",2021-12-18,"AR",13,3,"Arkansas"
"436",2021-12-25,"AR",8,3,"Arkansas"
"437",2022-01-01,"AR",28,3,"Arkansas"
